on_off,x_low,x_high,y_low,y_high,z_low,z_high
on,-32,18,-49,-2,-43,3
on,-15,35,-31,16,-9,43
on,-22,23,2,47,-35,13
on,-45,8,-18,27,-34,17
on,-15,31,-41,9,-35,19
on,-28,21,0,46,-27,27
on,3,49,-29,15,-45,4
on,-41,8,-29,22,-48,-2
on,-22,27,-46,-2,-12,37
on,-19,25,-5,41,-49,0
off,-37,-28,-17,0,-12,-1
on,-14,39,-30,23,-42,9
off,0,17,-11,8,33,47
on,-14,33,-33,21,-4,40
off,-34,-15,8,21,27,46
on,-46,8,-20,25,-19,31
off,-27,-10,7,22,-8,9
on,-10,36,-36,9,-8,36
off,6,19,-22,-13,-1,17
on,-21,26,-20,34,-30,18
on,42304,55089,-41094,-9559,-60602,-44103
on,-12654,23439,-83963,-75173,-37505,-9707
on,-20072,8304,72918,97850,-2675,16034
on,-37986,-31048,-72328,-68972,-39387,-14025
on,27419,32687,-76993,-55706,-21308,-3237
on,34432,37132,-60344,-43624,-67083,-45697
on,72302,73558,30119,43166,-1064,18581
on,-84484,-55892,33693,47267,11712,34474
on,-45658,-17069,70960,75993,-26483,-5829
on,61376,87685,4257,22831,35253,41855
on,3756,13562,-73892,-55475,32643,41653
on,12722,33585,-65584,-45968,53199,66161
on,-7455,2480,-33544,-4829,-93477,-76852
on,-27465,-19542,-69335,-49389,-72381,-53443
on,-40948,-21776,-44540,-28432,44396,70893
on,-57672,-32684,44519,58887,-40153,-35064
on,-46459,-23626,-73688,-55808,26012,46097
on,2039,25740,62438,75663,29312,47419
on,42026,52785,29466,32527,56876,60652
on,-43347,-36821,-56451,-47624,-57964,-34225
on,-54118,-47847,43457,79664,-24463,-2116
on,-11663,13554,11098,19096,-92264,-61722
on,45120,70705,-37305,-24246,35939,54051
on,-87008,-60366,-38875,-13453,-27795,-8059
on,28857,56676,46055,58209,-57163,-35870
on,37827,56893,51725,73853,12839,35289
on,-9554,-4174,-39960,-12261,-88665,-55895
on,10231,37253,51552,73709,15543,34468
on,-91453,-55431,-30966,-22590,912,6078
on,-15548,13706,85,13671,-89870,-69011
on,9096,37520,52365,74516,-35737,-16011
on,30879,55363,-83165,-56981,-27215,-15734
on,-13689,3798,-4094,14863,-90175,-60055
on,28959,50465,-72289,-60519,2098,27015
on,33972,38764,17655,43968,-69191,-62222
on,58793,77510,25017,44081,7734,27275
on,72280,93643,-28811,-17914,-31668,1633
on,-9578,-1180,-81603,-51234,-51968,-26090
on,-5887,19193,-33987,-11738,-89378,-58867
on,-81085,-49986,-48821,-37243,6616,31373
on,-16578,-5194,62042,92781,-12438,5855
on,-77736,-60862,-62708,-42206,-27972,-11616
on,-16816,12403,7100,23330,71861,82834
on,-27155,-11286,-81042,-71520,-17468,16908
on,-6281,-3063,-96146,-78012,-24792,-8886
on,63256,80947,-46184,-22853,-30506,-21756
on,-33867,-4610,8940,35588,-77803,-65303
on,-48659,-26899,-79830,-50086,-28452,-21210
on,-67126,-37734,15571,38429,-60022,-40717
on,49822,65596,-69599,-44970,-17742,5303
on,-25557,-15092,-36362,-8715,55262,83505
on,-13842,13150,-66895,-59718,-46296,-28479
on,39552,50946,-60150,-50799,27846,40741
on,-76863,-73896,-30384,-21568,-28939,-4857
on,52364,80542,36135,63656,2879,31637
on,19737,24560,58599,89313,-13963,7462
on,1881,18467,-77595,-52677,-41525,-26174
on,13573,25588,-67264,-33890,38048,65254
on,-39113,-16350,-74024,-50805,-56167,-41568
on,20706,21472,-74844,-62477,19834,36560
on,7333,11704,59476,74631,32828,50220
on,-60717,-47682,-38093,-32890,-54134,-40056
on,-34489,-5144,-62650,-32714,57892,71295
on,14172,36635,58909,62581,30992,59293
on,11691,28559,32866,55793,-78635,-45424
on,1923,32535,-60993,-46317,-73461,-56588
on,28005,34144,-78202,-51610,15823,37302
on,-10225,10584,30186,55174,53518,82290
on,-86523,-68467,10375,25060,-36484,-9740
on,-78284,-54484,-37370,-23941,7654,40188
on,69237,86982,-48693,-12581,15120,24404
on,29721,51779,-49913,-25284,46924,66255
on,59122,77342,-32839,-2216,-32457,-21167
on,-63410,-36877,50178,80121,-12457,13355
on,-61181,-44025,39446,41629,-67777,-37157
on,-17463,-4589,-69690,-42187,46474,56481
on,-70083,-44114,-56568,-34697,1883,25865
on,67007,78152,4382,31754,-31262,-10189
on,63184,85695,2681,22406,39577,57174
on,-36960,-20822,-35234,-19666,-73178,-54135
on,2446,29286,49673,61217,-53821,-38922
on,-8735,23469,66198,86751,-40443,-16261
on,-23390,8498,-82256,-58734,39769,57391
on,5945,25175,5269,22982,69388,81189
on,-9771,18524,72842,95260,-5021,4012
on,-51772,-37919,47043,81317,-5846,27300
on,48798,83119,-55523,-25947,4394,21059
on,55572,69032,-48002,-36964,-17342,647
on,-44829,-32932,-35651,-5696,-79658,-55963
on,18013,54374,-43967,-21760,-79107,-41054
on,32956,50515,30994,64621,-70686,-45249
on,-62545,-57181,10019,41591,46282,55593
on,62433,74009,-63816,-43553,-13196,6782
on,-77529,-50144,-51801,-46582,9282,19544
on,74707,87068,-315,24269,-4162,26292
on,-15915,3844,-57696,-40910,-71880,-56737
on,-35145,-15677,55481,69189,-53756,-26195
on,27612,59656,-44138,-33003,-74654,-54477
on,21448,55471,34490,47828,47696,56709
on,41704,56657,23782,40528,44697,63217
on,-85720,-67864,-39939,-25579,-15577,9385
on,46933,73934,-31669,3205,44351,70242
on,45925,66561,16674,53838,-46157,-18206
on,51620,60247,49303,66958,-24432,6032
on,-48876,-31090,22495,27171,47508,60551
on,65332,80186,34369,53315,13570,22869
on,36655,43547,-44546,-24231,46740,74946
on,-72450,-56083,-60041,-25505,-19975,-15665
on,-61366,-56495,-51815,-26578,20190,43247
on,36568,57312,21633,35170,51997,73893
on,-29809,-13792,44599,72717,47279,58862
on,70457,92215,-13055,2261,-51495,-23606
on,64520,75700,31668,52783,-35833,-16393
on,-79154,-48196,7306,25933,19097,39926
on,-35979,-7949,62778,81828,-14819,-2007
on,54082,71925,33885,67821,-4364,13030
on,-14415,292,-80213,-68128,-31982,3687
on,25094,37955,-34515,-8916,-78570,-65936
on,16964,41320,-75911,-45804,24736,60734
on,57790,78224,10389,46556,-31413,-4011
on,-88218,-63584,23146,52634,-3029,22706
on,-59572,-43445,-53148,-33646,28672,35821
on,-45847,-36583,-64682,-45313,-32778,-17602
on,-34666,-1274,30725,44478,-82745,-59950
on,-81560,-67485,1090,19801,-25054,3247
on,-34498,-17519,-46498,-24905,66538,86926
on,-40711,-12670,59177,81629,-20953,-3080
on,-52566,-27006,48458,58323,-61744,-33722
on,-70433,-51727,-21808,3931,-53940,-27362
on,-22040,808,-12495,20336,59303,86197
on,15085,37779,55395,61349,35001,50038
on,1875,20738,-7370,28101,62950,79820
on,-14585,8590,-49500,-38477,-72037,-50675
on,56170,75701,35508,53150,9606,10470
on,19658,42362,-87434,-52638,8513,41814
on,-72910,-44051,-59272,-23349,17582,37950
on,-91395,-58090,-2433,4676,-34398,-15674
on,38721,58292,-45133,-17672,48163,74318
on,-63099,-49000,33833,70870,-3394,29425
on,-820,16141,19204,46366,67848,82849
on,-72889,-57214,-16573,6418,-64277,-32447
on,29667,62403,-41822,-35500,-60234,-42797
on,39041,63217,30506,32516,31781,59890
on,16090,29597,54548,58089,-63438,-34377
on,41019,44118,46061,59676,32605,49929
on,25061,43373,63771,78604,-40511,-32758
on,65442,89280,-10502,24122,-31111,2880
on,27957,61563,-80172,-45013,-36020,-6710
on,-4878,2893,59921,73950,24621,49477
on,-70176,-51959,-45031,-28231,-53729,-26400
on,20493,46189,-85181,-58121,-21576,14051
on,40842,45463,-5271,32039,62602,68475
on,-88477,-67772,6567,26829,-8759,13692
on,28031,41232,17605,42138,65019,76475
on,66917,86588,-50850,-28370,-4681,-2128
on,1607,25353,64035,72095,-45358,-28810
on,18539,36406,-61309,-46355,-68838,-34305
on,-90384,-70799,7749,13553,-32613,-16550
on,-59205,-34437,27946,44947,-65845,-59431
on,35627,45927,64488,82022,2763,34103
on,-13982,18701,-21750,-3428,71578,87068
on,-38787,-10302,-90330,-60240,-19740,4802
on,-79165,-61017,2066,17940,-60736,-36241
on,5899,32323,-26476,2032,64594,79613
on,-79477,-63147,-35976,-10802,27872,43869
on,53,6514,-68382,-51125,-66473,-44020
on,-2020,18149,-28710,-23158,-78532,-72395
on,22142,54451,-7608,-1572,60510,89315
on,67145,70368,-38973,-31922,-35643,-10469
on,2699,39877,-7299,16737,75263,77076
on,60585,77521,-24181,-3431,-9013,13971
on,-89888,-78597,-16284,21205,-15522,-2661
on,-49725,-25246,-46083,-26749,-74367,-48470
on,-16842,10113,63166,96614,-33912,328
on,-91423,-72518,-8723,19171,-5295,187
on,-14774,12246,47752,72945,-71311,-45579
on,-67618,-59455,-50413,-35152,-30610,-6146
on,-62342,-53284,-52202,-28901,-59058,-44084
on,-48874,-32168,7363,30328,-88620,-67701
on,-77392,-63727,-7828,18482,-49154,-23876
on,-72286,-47752,50854,54571,-30463,-15666
on,58263,90046,-41684,-26422,-9566,3520
on,-69299,-55981,31064,56395,-29463,-11130
on,32263,47867,49662,55778,-63867,-36910
on,22376,42930,54404,87748,270,36666
on,13967,42302,29150,54025,-70393,-56457
on,13278,46340,-78442,-51168,29299,44729
on,-83987,-63136,27164,46771,20643,43154
on,21561,40367,-64528,-41636,-48928,-41287
on,31236,57992,13612,45576,-74817,-45796
on,65297,93142,7911,26514,13384,24480
on,-48499,-43335,-14469,10941,50293,67582
on,-289,24290,-78139,-63203,-36967,-6016
on,58554,81781,-32377,-1279,-8578,7409
on,74984,93908,-18228,-11465,-5040,16476
on,-51948,-44250,-39982,-31365,-58907,-51830
on,23539,42785,-42666,-5664,54725,90192
on,-84530,-48332,16746,39561,-55256,-28532
on,-86767,-70247,-18523,-5986,-4245,16726
on,-64055,-44727,43947,58489,-25606,-11738
on,10720,30748,58230,86081,10605,41509
on,-10380,14208,56134,86009,-44754,-22053
off,-68590,-67057,20547,46703,-30442,-5563
on,-56029,-49186,59774,69605,-31507,-15875
off,-32785,-15435,-82402,-62551,27664,44284
on,-21756,286,-63365,-33689,46899,61819
on,-65815,-47427,-33474,-14094,29557,46059
off,44513,71232,33644,63225,26006,42778
on,-32225,-25626,54256,90773,4482,32644
on,62779,75035,-23763,-181,-42929,-18527
on,-86460,-68431,-9375,16369,-5941,5126
on,29855,57726,-56337,-30907,-56327,-42877
on,19457,35099,-72253,-55977,-55265,-26093
off,15929,33263,-84643,-65318,25940,43234
off,45731,55834,-45342,-25790,-51915,-37202
off,48369,67015,-57403,-26850,-31188,-22861
off,-30677,-14565,65499,85547,-17121,13984
on,-17741,6500,39260,44683,66045,72514
on,43234,69304,-45464,-12769,-66513,-33228
on,46283,51644,-57971,-36740,30802,58370
on,-66169,-54880,17337,37552,-32721,-30133
off,-11944,12291,63466,88901,32217,45668
off,-81470,-62027,-53400,-23745,-11678,10809
off,-25182,-2507,17622,41068,55321,92149
off,-7932,20392,42656,56826,38841,68715
on,-17945,2311,-88740,-75805,-33421,-17260
on,13001,29689,23706,43534,51948,85292
off,-38753,-35835,-59008,-44261,-54016,-45286
on,54328,85425,23623,46760,-38767,-7035
on,71749,79549,-15545,-18,-15270,5052
on,-64852,-39164,35365,68480,-32892,-1540
off,-49091,-40945,-11295,20920,63764,75060
off,-21546,7322,6390,18510,76773,91750
off,39857,72953,50418,55354,-236,4625
off,33901,43337,-60622,-45812,-63114,-38989
on,-30651,-6336,-54999,-37647,39334,55626
off,7054,36140,66063,82298,-5200,17650
off,-32497,-17903,29033,61674,-68300,-52890
off,-70584,-45972,-60404,-46652,4814,31487
off,31573,47138,68802,85894,2652,26073
off,58200,87278,35367,45346,-12386,-877
on,46192,65479,21593,38520,47486,61680
on,-54842,-38829,-27381,-4213,-74460,-65635
on,-50361,-28067,63840,88753,-8999,18908
on,-77212,-65537,-31937,-5427,262,17654
off,-34766,-16263,54601,71584,27548,46132
off,47836,63434,-51645,-27231,-50649,-13272
on,-22834,7293,-82729,-49910,35010,53564
off,-20991,456,61018,90697,20346,50673
on,-75634,-69946,-3195,20691,14422,33839
on,31570,48675,-14978,12851,54051,68845
on,-84103,-58747,-44495,-22301,21106,35498
off,52448,82537,-4573,12614,-53241,-42533
off,-18767,-1493,-50524,-29741,59589,76111
on,-43957,-25214,-55483,-37993,52111,66435
on,40476,72252,-65792,-43831,-35254,-28879
off,222,20613,-21308,-2314,67021,81587
on,54287,73442,-6535,17997,-51431,-26378
on,19767,49012,53049,84962,-31466,-11742
on,-33389,-13773,-67433,-47973,49467,63498
off,-57568,-28304,-38798,-24345,-60539,-55108
off,-94212,-78528,2680,8419,-5836,7271
off,44573,52970,-68008,-48629,-24362,-748
on,-67747,-52131,2916,26317,44175,74440
off,-62901,-52220,20666,46844,38857,55860
on,-7185,9295,51206,76150,-46310,-30452
off,-70885,-62438,-31255,5942,-44249,-28516
off,-66818,-50776,-29393,-8484,-62529,-40850
off,32959,66006,16670,40690,-72822,-38606
on,-96461,-69637,-6268,17200,-8290,20485
off,52717,85484,-16928,-2533,-46871,-22676
on,52778,84526,-57392,-38574,-13098,7634
off,22474,31285,-82715,-66274,11320,30894
on,-71326,-47035,-77134,-51456,-16220,8476
off,-23004,2847,-12461,16581,77263,90218
on,5634,28471,-78231,-55326,28972,44789
on,-51196,-33467,-48287,-29395,-55898,-26628
off,33854,54748,-14268,642,46110,73413
off,19712,41611,48383,77383,-27397,-15038
off,-2630,17573,55718,82502,-61671,-45513
on,-23358,-161,-65196,-46000,51772,57587
on,-54202,-40959,45462,59686,4015,26322
off,-55265,-43168,32218,43778,31091,51776
on,-87643,-72176,15772,34424,10771,18637
on,-22471,-1983,-72001,-45989,38790,69228
on,-64844,-59708,-32218,-18753,22957,45037
off,-39053,-26158,-31892,-15371,-80784,-54198
on,-18870,-12091,13456,45099,-76314,-67706
off,3460,33236,55326,68645,-62296,-41768
on,-88431,-72572,17170,27433,-20521,-10627
off,-59525,-41158,-44130,-20008,-63529,-57818
off,-86810,-66624,35482,58126,-11968,13792
on,52010,80440,32281,42323,-45357,-24770
on,-42965,-27997,-22276,7138,-84424,-73760
on,34923,59926,-55742,-39041,25022,36987
on,56712,90971,11461,33583,-6005,16856
off,-84492,-58613,17580,45718,20742,24378
on,47853,58908,53260,60153,-37653,-819
off,-82862,-67952,29557,40522,-17232,14307
off,-5683,15346,-86120,-61828,-39042,-19174
off,-23514,-5716,43961,65251,29813,64926
off,32936,61173,25564,47136,35941,51652
on,-39553,-8243,37817,59751,65814,78856
off,25696,56603,-44040,-17494,46181,73966
off,-88191,-62117,-188,21668,-58297,-30598
off,11037,32197,-34517,-2048,-75168,-53316
off,-46993,-21019,23208,50040,-66457,-51551
on,-21125,-3040,39513,72723,-65608,-42653
off,-72390,-55390,32761,49172,-9171,7624
off,-54756,-49310,-59915,-53236,20642,44662
off,-38138,-18254,-66646,-43758,-63763,-38408
off,-61156,-43732,-47487,-27236,-58970,-28940
off,-74948,-58508,-40917,-23087,2049,38636
on,27271,45068,26535,59013,-62049,-54154
off,-33551,-15843,-62644,-27054,-67957,-46725
off,55204,72443,-7851,5727,-50362,-36096
off,-41170,-18330,-66017,-51580,29630,43528
off,-89094,-58584,-25357,-15064,9208,32583
on,-11078,14322,20305,29835,73101,82710
off,55559,63319,-61523,-35444,-29140,-2329
on,-58145,-47720,47180,78004,1852,9801
off,-34097,-20143,30917,58903,43463,65926
on,13161,18025,-64631,-51399,45488,72391
off,55271,83749,-28123,-13871,23397,38636
off,-32547,-6245,-94164,-73534,-7188,24728
on,-36489,-18028,-7655,13227,-86822,-59737
on,10042,13721,-62449,-46920,-65867,-47491
off,21995,33717,8935,27481,-79823,-55773
off,-3292,28778,-29548,-6977,67341,84503
off,-9214,17592,-88601,-66839,23754,45567
off,15130,39580,-60769,-33521,42201,68922
on,62158,79854,9526,45265,-34934,-14471
off,-51532,-22416,48942,82854,-35283,-31888
off,-7129,9724,-13622,4772,70760,94146
on,-87161,-73414,-12194,10497,-25132,-11027
on,69601,86089,-4288,19091,-36124,-7618
on,-7696,18625,-52949,-31952,48215,68742
off,-73896,-57697,2253,19371,-58964,-27925
off,-51219,-26765,2357,15669,55778,71228
on,29165,40666,54505,74724,-53626,-29111
off,-60211,-51649,-75289,-48206,-3424,12011
off,-9429,-4428,26236,33177,62558,74495
off,-41929,-5392,-76397,-55650,14204,36831
off,17175,35612,67203,78953,-15014,16661
on,-4501,18587,-55399,-37105,-64273,-57591
on,47690,71984,-2905,21210,-52884,-47279
off,4088,24122,-7229,20643,-93792,-77052
off,-34183,-12263,-6187,-5469,-84604,-68360
off,-39438,-22118,3850,26868,-82052,-55726
off,-54939,-23770,-78192,-50567,-3432,32441
off,-12414,3311,-20251,14778,76195,83325
on,-32395,-10905,-13419,13411,-94302,-72825
on,-37425,-9194,45992,67230,-59699,-39546
off,10480,35906,6832,30011,-82426,-58627
on,-49171,-25934,-79003,-58443,-46408,-20717
off,67886,96229,-14703,-298,-24989,3817
off,19936,32198,-44070,-13401,-82660,-67383
on,57666,77271,28689,51955,12850,34914
on,17582,33567,-76204,-53544,24912,44863
off,-79549,-69041,7351,13719,-29721,-24471
off,-49583,-23366,-6863,9070,-69384,-47850
on,59860,68757,-54446,-34416,8518,23182
on,1504,23242,-85307,-73701,-20088,4805
off,-75735,-38348,8662,16235,-65376,-43593
on,-71569,-52591,-19325,-13977,31145,62494
off,64198,79555,-37258,-29310,8818,9731
on,-14511,11395,6544,44296,73310,90702
on,-74448,-65191,31476,50137,-634,22762
on,53827,65102,-56957,-40328,21688,44866
off,-73420,-54595,13120,33851,46706,50683
on,-8629,11750,41560,52871,-76432,-62645
on,12561,45776,-60167,-56239,42163,65955
on,-71438,-54827,-53935,-29973,-34111,79
on,36948,41587,-5258,26597,-74788,-50304
off,31950,53217,-81146,-53896,-21498,527
on,56159,80472,34881,50983,-10836,7479
off,29596,56775,-53470,-30242,54000,68255
on,-54016,-23362,40646,77064,-52805,-37233
on,541,21272,75636,87266,-25788,-12083
on,56181,84721,-14683,162,17134,29835
on,-51027,-43416,50036,70271,26561,44972
on,10743,32101,-68349,-37931,44848,61970
off,-55326,-48901,32484,54477,-56240,-23404
off,48587,62184,43846,62726,-41603,-8025
on,4900,38715,68595,76192,25187,34335
off,13821,30324,-81234,-62026,22261,45691
off,-14070,23184,1276,14699,-91072,-73844
on,-48534,-31533,-25248,2585,55004,73383
off,46392,66155,-56223,-45303,-38611,-24559
on,-4574,11297,15013,50151,73076,83485
on,-33221,-1626,-51080,-32773,-77646,-65474
on,39905,65852,-46854,-21146,49491,55990
off,44127,70938,5550,35212,-56576,-42778
off,13809,41675,-79384,-50942,31211,45859
off,21195,59169,50006,68537,-2033,17819
on,-76114,-73275,-11356,20556,-43710,-24778
on,24471,44120,-33361,-23138,55599,78601
off,-64184,-49325,5861,34254,39292,56947
off,51589,61312,-47147,-10223,51825,68601
off,-23677,-5777,27261,65225,46003,66182
off,-99999,-51,-99999,99999,-99999,99999
off,51,99999,-99999,99999,-99999,99999
off,-99999,99999,-99999,-51,-99999,99999
off,-99999,99999,51,99999,-99999,99999
off,-99999,99999,-99999,99999,-99999,-51
off,-99999,99999,-99999,99999,51,99999